sku,title,description,price,stock,image 1_link,image 2_link,image 3_link,image 4_link,image 5_link,brand,ean,delivery_time
k0038250529-004,Set van 5 decoratieve kippenbeeldjes - Zwarte metalen tuindecoratie - Geschikt voor pastorale tuin of gazondecoratie,"<ul class=""a-unordered-list a-vertical a-spacing-mini""> <li class=""a-spacing-mini""><span class=""a-list-item"">Productverpakking: 5 verschillende vormen decoratieve kippen in de tuin. Inclusief 5 verschillende kippenbeelden, met gedetailleerd oog- en snavelontwerp, die uw tuin tot leven brengen en een gevoel van vitaliteit geven. Na meerdere processen is de textuur vol en verfijnd.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Hoogwaardig metaal: De decoratieve kippentuin is gemaakt van ijzer. Vergeleken met andere materialen is hij stabieler en minder gevoelig voor breuk. Hij kan ook gebruikt worden tijdens de warme zomermaanden en de koude wintermaanden. Het zal niet beschadigd raken.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">GESCHIKT FORMAAT: De afmetingen van 5 kippen zijn 25 x 14 cm, 25 x 15 cm, 25 x 15 cm, 25 x 20 cm en 25 x 21,2 cm; Dierentuindecoraties zijn er in verschillende stijlen.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Breed toepassingsgebied: U kunt deze kippen niet alleen gebruiken om uw tuin en gazon te versieren, maar ook in velden, bloemperken, parken en achtertuinen. Dit beeld, dat lijkt op een echte kip, kan vitaliteit en levendigheid in uw huis brengen en de tuin versieren met zeer aantrekkelijke kippen.</span></li> </ul>",28.27 ,100,https://m.media-amazon.com/images/I/91J7f0ic4VL.jpg,https://m.media-amazon.com/images/I/71eb9RstGxL.jpg,https://m.media-amazon.com/images/I/91bepi+dp2S.jpg,https://m.media-amazon.com/images/I/61zAJuNyUBL.jpg,https://m.media-amazon.com/images/I/81g8FyLZ-7L.jpg,Merkloos,8410900593731,4-8d
k0038250529-005,"Metalen tuindecoratie voor vogels, mezen en bessen, geschilderde vogels, tuinbeelddecoratie voor buitenhek woonkamer balkon","<ul class=""a-unordered-list a-vertical a-spacing-mini""> <li class=""a-spacing-mini""><span class=""a-list-item"">Vier de komst van de lente met deze geschilderde mezen en bessen</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Afmetingen: circa 30 cm hoog x 20 cm breed, inclusief stokje circa 30 cm</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Elk stuk is aan beide zijden beschilderd met speciale metallic verf. De vogeltjes zijn gesneden uit gerecycled staal en voorbehandeld voor een authentiek oppervlak.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Bevestig uw product aan een raam, tak, pergola, schutting, trellis, tuinhek of oude boomstam in de tuin. De mogelijkheden zijn eindeloos.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Het perfecte verjaardagscadeau voor uw dierbaren. Ideaal als bedankje en Moederdagcadeau om elke vensterbank, bloempot, schutting of trellis op te vrolijken. Een stijlvolle toevoeging aan elke tuin.</span></li> </ul>",23.91 ,100,https://m.media-amazon.com/images/I/518L5UCAudL.jpg,https://m.media-amazon.com/images/I/71gQk2gsmiL.jpg,https://m.media-amazon.com/images/I/71-efCxAsbL.jpg,https://m.media-amazon.com/images/I/81y0AOu8OlL.jpg,https://m.media-amazon.com/images/I/91X8ckQxXXL.jpg,Merkloos,8410900593748,4-8d
k0038250529-006,"Set van 3 decoratieve metalen tuinpalen voor tuin, gazon en buitendecoraties voor hertenliefhebbers","<ul class=""a-unordered-list a-vertical a-spacing-mini""> <li class=""a-spacing-mini""><span class=""a-list-item"">Perfecte tuindecoratie: Wij creëren unieke tuindecoraties met hertenmotief, speciaal voor u. De tuinpaal met hertenmotief heeft een uniek, levendig en levensecht hol patroon dat de schattigheid en levendigheid van het hert laat zien. Breng vreugde en een goed humeur in uw tuin.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Hoogwaardig materiaal: Handgemaakt van hoogwaardig metaal en gecoat met waterdichte verf, is het uitstekend weerbestendig, vervaagt of slijt het niet snel, u kunt het lange tijd buiten laten staan zonder u zorgen te maken over roest, zeer stevig en duurzaam</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Gebruiksvriendelijk: Stap 1 – Draai de lange schroef in de moer aan de onderkant. Stap 2: Kies je favoriete plek en steek de hertentuindecoratie in de grond. Stap 3 - Je hebt een tuin vol plezier en leven</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Charmant cadeau: Verras je dierbaren met deze metalen hertenpalen. De hertentuindecoratie is perfect voor decoratie op een boerderij, in de tuin, buiten, op het terras of in de tuin, en een perfect themacadeau voor Moederdag, Vaderdag, Kerstmis, verjaardagen, Thanksgiving en Halloween.</span></li> </ul>",36.41 ,100,https://m.media-amazon.com/images/I/71nQTt9HGLL.jpg,https://m.media-amazon.com/images/I/61x3fgDlPtL.jpg,https://m.media-amazon.com/images/I/81kZN14Jo8L.jpg,https://m.media-amazon.com/images/I/61+3-bDUGtL.jpg,https://m.media-amazon.com/images/I/61Nali1zYXL.jpg,Merkloos,8410900593755,4-8d
k0038250529-007,"Boerderijdecoratie voor buiten - Metalen sculptuur van een koe voor tuin, erf en binnen","<ul class=""a-unordered-list a-vertical a-spacing-mini""> <li class=""a-spacing-mini""><span class=""a-list-item"">✙[Overal te versieren] Het voegt een nostalgisch tintje toe en geeft uw tuin een warme touch. De Farm Peeping Animals Metal Garden Art is ontworpen met een groot formaat dat opvalt en gemakkelijk de aandacht van gasten trekt.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">✙[Ideaal voor hergebruik] Geschikt voor langdurig gebruik. De Farm Peeping Animals Metal Garden Art is gemaakt van ijzer, is sterk en herbruikbaar, lichtgewicht en betrouwbaar, en niet gemakkelijk te breken of te corroderen.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">✙[Goed gemaakte producten] Ontworpen in een coole stijl, zijn de Farm Metal Art-buitendecoraties geschikt voor het decoreren van uw tuin, ze zijn eenvoudig en hebben een verfijnde uitstraling. die een artistiek tintje toevoegt aan uw tuin.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">✙[Eenvoudige installatie] Het wordt geleverd met twee schroeven voor eenvoudige installatie, plaats gewoon een paal om het eenvoudig te installeren waar u het wilt installeren, Cow Metal Garden Art is eenvoudig te installeren en geschikt voor binnen- en buitendecoratie.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">✙[Breed gebruik] De metalen dierentuindecoratie is ontworpen voor breed gebruik, het kan binnen en buiten worden toegepast om uw tuin een nieuwe look te geven, geschikt voor uw tuin, tuin, achtertuin, veranda, woonkamer, enz.</span></li> </ul>",20.14 ,100,https://m.media-amazon.com/images/I/71OfvjxliYL.jpg,https://m.media-amazon.com/images/I/81cmhacnL-L.jpg,https://m.media-amazon.com/images/I/61Eg0CceouL.jpg,https://m.media-amazon.com/images/I/81w0beDQIQL.jpg,https://m.media-amazon.com/images/I/71H3B6FyDiL.jpg,Merkloos,8410900593762,4-8d
k0038250529-008,"stuks roestige metalen tuinpalen, vogelboomdecoratie, herbruikbaar, tuinkunst, geschikt voor buitendecoratie","<ul class=""a-unordered-list a-vertical a-spacing-mini""> <li class=""a-spacing-mini""><span class=""a-list-item"">Inhoud van het pakket: We werken hard om tuin- en erfdecoratie van de beste kwaliteit te creëren. U ontvangt 4 decoratieve metalen tuinvogels, elk met schroeven, de afmetingen zijn 6,5 x 10,5 cm, 16,5 x 12 cm, 15,5 x 10 cm, 14,5 x 9,5 cm, om aan uw dagelijkse decoratiebehoeften te voldoen.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Natuurlijke stijl: Het roestige metalen ontwerp leunt dichter aan bij de rustieke stijl en is speciaal ontworpen voor vogelliefhebbers die hun tuin graag in een antieke stijl decoreren. Het staat dichter bij de natuur en maakt het leven aangenamer.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Eenvoudig te installeren: Het metalen vogelsilhouet voor in de tuin heeft een dunne bodemplaat met gaten voor schroeven of spijkers om het stevig te bevestigen. Het kan eenvoudig worden geïnstalleerd op vensterbanken, schuttingen, takken, tuinhekken of elke andere plek in de tuin.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Aantrekkelijk ontwerp: De rustieke en charmante metalen vogeldecoratie kan het uiterlijk van de tuin verbeteren, uw tuin levendig maken, de aandacht van de buren trekken en het wandelen in de tuin aangenamer maken voor u en uw vrienden.</span></li> </ul>",18.13 ,100,https://m.media-amazon.com/images/I/71c2ihI8kPL.jpg,https://m.media-amazon.com/images/I/611ja0fMMvL.jpg,https://m.media-amazon.com/images/I/71cCezuoNNL.jpg,https://m.media-amazon.com/images/I/71TbuBgjToL.jpg,https://m.media-amazon.com/images/I/718+XkTik5L.jpg,Merkloos,8410900593779,4-8d
k0038250529-009,"Massief stenen kattenfiguur kamerdecoratie tuindecoratie gemaakt van gereconstrueerde steen, vorstbestendig","<p>Afmetingen: 17 cm, afmetingen: 35 x 20 cm, kleur: grijs, gewicht: 9 kg, materiaal: wit beton / composietsteen.<br />Alle elementen zijn gemaakt van hoogwaardig beton, bestand tegen alle weersomstandigheden (vorst, regen, zon). Vorst- en weerbestendig tot -30 °C.<br />Onze figuren, plantenbakken, beelden en sculpturen zijn perfect voor de decoratie van uw buitenruimte, tuin en terras of als een geweldig cadeau-idee.<br />Alle elementen worden met veel handwerk vervaardigd. Afwijkingen in de oppervlaktestructuur (luchtbellen) en kleur (patina), lopers en randen zijn daarom mogelijk.</p>",21.32 ,100,https://m.media-amazon.com/images/I/91kLUG6GrkL.jpg,https://m.media-amazon.com/images/I/A1laOgVasIL.jpg,https://m.media-amazon.com/images/I/71ZfBk3VFXL.jpg,https://m.media-amazon.com/images/I/71vqzkEv3ZL.jpg,https://m.media-amazon.com/images/I/91b8QE6x1yL.jpg,Merkloos,8410900593786,4-8d
k0038250529-010,"Mobiel van roestvrij staal - Orbit Spiral Tail Rood - 7 x 28 cm - Gekleurde bal Ø 5 cm - Inclusief nylon draad, haak en kogellager draaibaar","<ul class=""a-unordered-list a-vertical a-spacing-mini""> <li class=""a-spacing-mini""><span class=""a-list-item"">KWALITEIT EN DUURZAAMHEID - De mobiel is gemaakt van staaldraad en heeft een glanzende afwerking. De glazen bol ontvouwt zijn volle pracht qua glans en kleur in direct zonlicht.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">DECORATIEF IN DE TUIN EN THUIS - Dankzij de meegeleverde ophanghaak, het nylon koord en de kogelgelagerde wartel kan de spiraal snel en eenvoudig op de gewenste plek worden opgehangen. Het aantrekkelijke formaat maakt hem de perfecte accessoire om saaie hoeken en nissen op te fleuren. Je kunt je mobiel ook ophangen aan een batterijgevoede motor die langzaam ronddraait, wat een prachtig optisch effect creëert.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">VEELZIJDIG - Dankzij het perfect aangepaste formaat is de Spiral Tail perfect te combineren met andere ORBIT-artikelen. Creëer unieke combinaties naar jouw smaak!</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">VEELZIJDIG - Hang de mobiel op aan een batterijgevoede motor die langzaam ronddraait. De spiraal creëert zo een magisch effect. Het lijkt alsof de bal zweeft en eindeloos in de spiraal beweegt.</span></li> </ul>",21.54 ,100,https://m.media-amazon.com/images/I/41oEhIDNnTL._AC_SL1200_.jpg,,,,,Merkloos,8410900593793,4-8d
k0038250529-011,"stuks roestige kippentuindecoratie, hen met kuikens, kip, buitentuindecoratie, roestige kippentuinkunst, metalen beelden voor buiten, tuin, terras (A)","<ul class=""a-unordered-list a-vertical a-spacing-mini""> <li class=""a-spacing-mini""><span class=""a-list-item"">TUINDECORATIE: Chicken Garden Lawn Path Sidewalk Garden Decoration bevat een hen en drie kuikens. De roestige afwerking zorgt voor sfeer in uw tuin en ziet er prachtig uit in bloemperken, potten, heggen of gras.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">KIPPENONTWERP: Chicken Garden Lawn Sidewalk Decoration is een tuinplant met de afbeelding van een hen en drie kuikens. De roestige afwerking van de ijzeren plaat is gegraveerd met veel details, wat een gevoel van structuur aan de hele tuin toevoegt en leven in de lentetuin brengt.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">ROESTIG ROESTVRIJ STAAL ONTWERP: Metalen tuinpaal Kip met kuikens is gemaakt van roestig ijzer, elegant en natuurlijk, het past heel goed bij de tuinsfeer, de levendige uitstraling creëert een aantrekkelijk gevoel van tuinsfeer, het is een zeer unieke decoratie.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">HOOGWAARDIG MATERIAAL: De roest van Rusty Metal Garden Stakes Chicks wordt veroorzaakt door een speciaal menselijk proces, het heeft nog steeds de duurzaamheid van ijzer, het zal niet verder corroderen, het is duurzaam.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">DIY Decoratie: Kip Metalen Dieren Kunst Tuindecoratie is in roestige metallic kleur, je kunt DIY tekeningen maken op de kippenkleur om uw eigen exclusieve tuindecoratie te creëren.</span></li> </ul>",21.56 ,100,https://m.media-amazon.com/images/I/71CxQcysLdL.jpg,https://m.media-amazon.com/images/I/71Kogmv+z5L.jpg,https://m.media-amazon.com/images/I/91bLUvBTLqL.jpg,https://m.media-amazon.com/images/I/81+EkS99AeL.jpg,https://m.media-amazon.com/images/I/81KPtG+Y9EL.jpg,Merkloos,8410900593809,4-8d
k0038250529-012,"Set van 2 messing slakkenbeelden voor tuindecoratie, woondecoratie, messing slak, goud","<ul class=""a-unordered-list a-vertical a-spacing-mini""> <li class=""a-spacing-mini""><span class=""a-list-item"">Uitstekend materiaal: Dit slakkenbeeld is vakkundig vervaardigd en heeft een prachtige afwerking. Gemaakt van messing. Na jaren van veroudering straalt het rust en textuur uit, wat het nauwgezette vakmanschap van de ambachtslieden weerspiegelt.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Stijl: Weerspiegelt de retrostijl van het platteland, waardoor mensen het gevoel krijgen terug te keren naar de natuur. Als u rustig naar deze levensechte slakkenbeelden kijkt, zult u een gevoel van harmonie en rust in uw hart ervaren. Naast de retrostijl ademt het ook de sfeer van het plattelandsleven, een unieke interpretatie van natuurlijke schoonheid.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Minimaat: Het formaat is 4 x 2 cm, waardoor het zich perfect aanpast aan verschillende ruimtes. Of het nu op een bureau staat of naast een computer, het kan een gevoel van aanwezigheid uitstralen.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Decoratief en functioneel: Naast decoratief is het ook een symbool van geluk en kan het als huisdier worden gehouden. Zet het in huis, misschien wordt je dagelijkse leven in het volgende moment kleurrijker.</span></li> </ul>",15.39 ,100,https://m.media-amazon.com/images/I/71J517FLt0L.jpg,https://m.media-amazon.com/images/I/71FG7zYTE1L.jpg,https://m.media-amazon.com/images/I/81ghm6xbZ7L.jpg,https://m.media-amazon.com/images/I/81+h0BggCmL.jpg,https://m.media-amazon.com/images/I/61-d0aVfvJL.jpg,Merkloos,8410900593816,4-8d
k0038250529-013,Grappige hars haanbeelden buiten kerstdecoratie tuin gazonpalen - grijs,"<ul class=""a-unordered-list a-vertical a-spacing-mini""> <li class=""a-spacing-mini""><span class=""a-list-item"">Tuinkunst en tuindecoratie: Dit zijn prachtige buitenbeelden. Met de prachtige, heldere kleuren van Chicken Farm Art kunt u het uitzicht al vrolijker maken. Versier uw gazon en tuin met een art-deco haanbeeld voor buiten. Met deze haan als tuintafeldecoratie kunt u veel plezier beleven in uw tuin, en het is ook een geweldige haan als keukendecoratie.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Handgemaakt en gemaakt van hoogwaardig hars - De art-deco kippenboerderij is prachtig handgemaakt met realistische details van kippen, veren, ogen en snavels. Laat de decoratieve kippen in uw tuin leven en breng oneindige vitaliteit in uw tuin. De kippentuindecoratie is gemaakt van hoogwaardig hars, dus u hoeft zich geen zorgen te maken over het materiaal van het product. Plaats de decoratieve kippenboerderijkunst op tuinpalen.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Levendig en vervaagt niet snel - De hanentuindecoratie als decoratie voor in de tuin is net zo authentiek als de originele decoratie in de tuin, en de kippentuindecoratie voor buiten zal u vergezellen op regenachtige, zonnige en winderige dagen. De uniforme kleur van de kippenhokkunst vervaagt niet snel, kan lang worden gebruikt en ons hanendecoratiebeeld voor buiten is duurzaam. U hoeft zich geen zorgen te maken dat de decoratie van uw kippenhok beschadigd raakt.</span></li> <li class=""a-spacing-mini""><span class=""a-list-item"">Perfecte maat en cadeauverpakking: kippenlijf van 15 x 9 x 9 cm (5,9 x 3,54 x 3,54 inch), poten van 10 cm. De maat is geschikt voor elke plek als decoratie. Onze tuindecoratie met kippen is afzonderlijk verpakt om krassen te voorkomen. Ideaal cadeau voor tuindecoratie, of het nu een kerst- of Halloweencadeau is voor uzelf of voor uw vrienden, kinderen of buren, onze kuikens zijn perfect voor u.</span></li> </ul>",21.73 ,100,https://m.media-amazon.com/images/I/81TtNl3nDQL.jpg,https://m.media-amazon.com/images/I/81Qr2rRpeYL.jpg,https://m.media-amazon.com/images/I/61gtBuMWcsL.jpg,https://m.media-amazon.com/images/I/71JEfOQyn+L.jpg,https://m.media-amazon.com/images/I/815EjkyFooL.jpg,Merkloos,8410900593823,4-8d
